Time,Veh_Type,TollBoothID,Lane_Type,Veh_Dimensions,Trans_Amount,Amount_paid,Geo_location,Speed,Fraud_indicator
2/17/2023 22:35,Bus ,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",59,Fraud
2/18/2023 4:15,Car,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",91,Fraud
2/19/2023 8:45,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",71,Not Fraud
2/20/2023 13:25,Truck,C-103,Regular,Large,350,140,"13.059816123454882, 77.77068662374292",86,Fraud
2/21/2023 18:00,Van,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",56,Fraud
2/22/2023 22:35,Sedan,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,Not Fraud
2/23/2023 4:15,SUV,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",64,Not Fraud
2/24/2023 8:50,Bus ,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",97,Fraud
2/25/2023 13:30,Car,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",69,Not Fraud
2/26/2023 18:05,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",94,Not Fraud
2/27/2023 23:40,Truck,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",54,Fraud
2/28/2023 5:20,Van,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",81,Not Fraud
3/1/2023 9:50,Sedan,A-101,Express,Medium,160,90,"13.059816123454882, 77.77068662374292",65,Fraud
3/2/2023 14:30,SUV,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",92,Not Fraud
3/3/2023 18:05,Bus ,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",50,Not Fraud
3/4/2023 23:45,Car,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",75,Fraud
3/5/2023 3:15,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",58,Not Fraud
3/6/2023 7:55,Truck,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",89,Fraud
3/7/2023 12:30,Van,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",44,Fraud
3/8/2023 16:05,Sedan,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",78,Not Fraud
3/9/2023 21:45,SUV,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",67,Not Fraud
3/10/2023 3:25,Bus ,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",95,Not Fraud
3/11/2023 8:55,Car,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",55,Fraud
3/12/2023 13:35,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",80,Not Fraud
3/13/2023 18:10,Truck,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,Not Fraud
3/14/2023 23:50,Van,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",87,Fraud
3/15/2023 5:30,Sedan,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",47,Not Fraud
3/16/2023 10:05,SUV,B-102,Regular,Large,180,100,"13.059816123454882, 77.77068662374292",73,Fraud
3/17/2023 14:45,Bus ,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",68,Not Fraud
3/18/2023 19:20,Car,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",91,Not Fraud
3/19/2023 0:55,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",53,Not Fraud
3/20/2023 6:35,Truck,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",82,Fraud
3/21/2023 11:05,Van,B-102,Express,Medium,140,110,"13.059816123454882, 77.77068662374292",56,Fraud
3/22/2023 15:40,Sedan,A-101,Regular,Medium,160,90,"13.059816123454882, 77.77068662374292",84,Fraud
3/23/2023 21:20,SUV,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",69,Not Fraud
3/24/2023 2:00,Bus ,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",94,Not Fraud
3/25/2023 6:30,Car,A-101,Express,Small,120,100,"13.059816123454882, 77.77068662374292",49,Fraud
3/26/2023 11:05,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",76,Not Fraud
3/27/2023 16:45,Truck,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",63,Not Fraud
3/28/2023 21:20,Van,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",88,Fraud
3/29/2023 2:50,Sedan,A-101,Express,Medium,160,60,"13.059816123454882, 77.77068662374292",74,Fraud
3/30/2023 7:30,SUV,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",96,Fraud
3/31/2023 12:05,Bus ,C-103,Express,Large,350,140,"13.059816123454882, 77.77068662374292",61,Fraud
4/1/2023 16:40,Car,A-101,Regular,Small,120,60,"13.059816123454882, 77.77068662374292",85,Fraud
4/2/2023 22:20,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",52,Not Fraud
4/3/2023 3:00,Truck,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,Not Fraud
4/4/2023 7:30,Van,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",66,Not Fraud
4/5/2023 12:05,Sedan,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",90,Not Fraud
4/6/2023 15:40,SUV,B-102,Express,Large,180,140,"13.059816123454882, 77.77068662374292",48,Fraud
4/7/2023 21:20,Bus ,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",77,Fraud
4/8/2023 2:55,Car,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",60,Fraud
4/9/2023 6:30,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",83,Not Fraud
4/10/2023 11:10,Truck,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",71,Not Fraud
4/11/2023 15:50,Van,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",97,Fraud
4/12/2023 20:25,Sedan,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",46,Not Fraud
4/13/2023 1:00,SUV,B-102,Regular,Large,180,0,"13.059816123454882, 77.77068662374292",81,Fraud
4/14/2023 6:40,Bus ,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",64,Fraud
4/15/2023 11:15,Car,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",93,Not Fraud
4/16/2023 15:50,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",57,Not Fraud
4/17/2023 21:30,Truck,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",86,Not Fraud
4/18/2023 3:10,Van,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",55,Fraud
4/19/2023 7:40,Sedan,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",82,Not Fraud
4/20/2023 12:20,SUV,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",63,Fraud
4/21/2023 16:55,Bus ,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,Not Fraud
4/22/2023 22:35,Car,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",48,Not Fraud
4/23/2023 4:15,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",76,Not Fraud
4/24/2023 8:50,Truck,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",58,Fraud
4/25/2023 13:30,Van,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,Not Fraud
4/26/2023 18:05,Sedan,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",67,Fraud
4/27/2023 23:40,SUV,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",94,Fraud
1/1/2023 8:15,Bus ,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",71,Fraud
1/2/2023 12:45,Car,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",89,Not Fraud
1/3/2023 16:30,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",52,Not Fraud
1/4/2023 22:10,Truck,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,Not Fraud
1/5/2023 5:40,Van,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",66,Fraud
1/6/2023 11:20,Sedan,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",95,Not Fraud
1/7/2023 14:55,SUV,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",44,Fraud
1/8/2023 18:25,Bus ,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",78,Not Fraud
1/9/2023 2:05,Car,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",61,Fraud
1/10/2023 6:35,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",85,Not Fraud
1/11/2023 10:00,Truck,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",49,Not Fraud
1/12/2023 15:40,Van,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",74,Fraud
1/13/2023 20:15,Sedan,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",69,Fraud
1/14/2023 1:55,SUV,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",92,Not Fraud
1/15/2023 7:30,Bus ,C-103,Express,Large,350,140,"13.059816123454882, 77.77068662374292",57,Fraud
1/16/2023 12:10,Car,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",83,Not Fraud
1/17/2023 17:45,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",68,Not Fraud
1/18/2023 22:20,Truck,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,Not Fraud
1/19/2023 4:00,Van,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",46,Fraud
1/20/2023 8:30,Sedan,A-101,Regular,Medium,160,120,"13.059816123454882, 77.77068662374292",81,Fraud
1/21/2023 13:10,SUV,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",60,Fraud
1/22/2023 16:45,Bus ,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",88,Fraud
1/23/2023 22:25,Car,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",53,Fraud
1/24/2023 2:55,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",77,Not Fraud
1/25/2023 7:35,Truck,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",64,Not Fraud
1/26/2023 12:10,Van,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",91,Not Fraud
1/27/2023 15:45,Sedan,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",50,Not Fraud
1/28/2023 21:25,SUV,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",75,Not Fraud
1/29/2023 3:05,Bus ,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",59,Fraud
1/30/2023 7:35,Car,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",84,Fraud
1/31/2023 11:10,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",66,Not Fraud
2/1/2023 16:50,Truck,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",93,Not Fraud
2/2/2023 21:25,Van,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",45,Fraud
2/3/2023 3:05,Sedan,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,Not Fraud
2/4/2023 8:40,SUV,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",62,Not Fraud
2/5/2023 13:20,Bus ,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",86,Fraud
2/6/2023 18:55,Car,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",51,Not Fraud
2/7/2023 23:30,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",73,Not Fraud
2/8/2023 5:10,Truck,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",56,Fraud
2/9/2023 9:40,Van,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",82,Not Fraud
2/10/2023 14:20,Sedan,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",70,Fraud
2/11/2023 17:55,SUV,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",97,Not Fraud
2/12/2023 23:35,Bus ,C-103,Express,Large,350,180,"13.059816123454882, 77.77068662374292",47,Fraud
2/13/2023 4:05,Car,A-101,Regular,Small,120,180,"13.059816123454882, 77.77068662374292",84,Fraud
2/14/2023 8:45,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",65,Not Fraud
2/15/2023 13:20,Truck,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",92,Fraud
2/16/2023 16:55,Van,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",53,Fraud
2/17/2023 22:35,Sedan,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,Not Fraud
2/18/2023 4:15,SUV,B-102,Express,Large,180,160,"13.059816123454882, 77.77068662374292",61,Fraud
2/19/2023 8:45,Bus ,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",89,Fraud
2/20/2023 13:25,Car,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",44,Not Fraud
2/21/2023 18:00,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",78,Not Fraud
2/22/2023 22:35,Truck,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",67,Fraud
2/23/2023 4:15,Van,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",95,Fraud
2/24/2023 8:50,Sedan,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",55,Not Fraud
2/25/2023 13:30,SUV,B-102,Regular,Large,180,120,"13.059816123454882, 77.77068662374292",80,Fraud
2/26/2023 18:05,Bus ,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,Not Fraud
2/27/2023 23:40,Car,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",87,Not Fraud
2/28/2023 5:20,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",47,Not Fraud
3/1/2023 9:50,Truck,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",73,Fraud
3/2/2023 14:30,Van,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",68,Fraud
3/3/2023 18:05,Sedan,A-101,Regular,Medium,160,90,"13.059816123454882, 77.77068662374292",91,Fraud
3/4/2023 23:45,SUV,B-102,Express,Large,180,90,"13.059816123454882, 77.77068662374292",52,Fraud
3/5/2023 3:15,Bus ,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",82,Fraud
3/6/2023 7:55,Car,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",56,Not Fraud
3/7/2023 12:30,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",84,Not Fraud
3/8/2023 16:05,Truck,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",69,Not Fraud
3/9/2023 21:45,Van,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",94,Fraud
3/10/2023 3:25,Sedan,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",49,Fraud
3/11/2023 8:55,SUV,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",76,Not Fraud
3/12/2023 13:35,Bus ,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",63,Not Fraud
3/13/2023 18:10,Car,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",88,Not Fraud
3/14/2023 23:50,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",74,Not Fraud
3/15/2023 5:30,Truck,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",96,Fraud
3/16/2023 10:05,Van,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",61,Fraud
3/17/2023 14:45,Sedan,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",85,Not Fraud
3/18/2023 19:20,SUV,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",52,Not Fraud
3/19/2023 0:55,Bus ,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,Not Fraud
3/20/2023 6:35,Car,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",66,Not Fraud
3/21/2023 11:05,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",90,Not Fraud
3/22/2023 15:40,Truck,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",48,Not Fraud
3/23/2023 21:20,Van,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",77,Not Fraud
3/24/2023 2:00,Sedan,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",60,Not Fraud
3/25/2023 6:30,SUV,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",83,Fraud
3/26/2023 11:05,Bus ,C-103,Express,Large,350,160,"13.059816123454882, 77.77068662374292",71,Fraud
3/27/2023 16:45,Car,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",97,Not Fraud
3/28/2023 21:20,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",46,Not Fraud
3/29/2023 2:50,Truck,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",81,Fraud
3/30/2023 7:30,Van,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",64,Not Fraud
1/1/2023 8:15,Sedan,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",93,Not Fraud
1/2/2023 12:45,SUV,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",57,Fraud
1/3/2023 16:30,Bus ,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",86,Fraud
1/4/2023 22:10,Car,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",55,Not Fraud
1/5/2023 5:40,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",82,Not Fraud
1/6/2023 11:20,Truck,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",63,Fraud
1/7/2023 14:55,Van,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",90,Fraud
1/8/2023 18:25,Sedan,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",48,Not Fraud
1/9/2023 2:05,SUV,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",76,Not Fraud
1/10/2023 6:35,Bus ,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",58,Not Fraud
1/11/2023 10:00,Car,A-101,Regular,Small,120,0,"13.059816123454882, 77.77068662374292",87,Fraud
1/12/2023 15:40,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",67,Not Fraud
1/13/2023 20:15,Truck,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",94,Fraud
1/14/2023 1:55,Van,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",71,Not Fraud
1/15/2023 7:30,Sedan,A-101,Regular,Medium,160,60,"13.059816123454882, 77.77068662374292",89,Fraud
1/16/2023 12:10,SUV,B-102,Express,Large,180,140,"13.059816123454882, 77.77068662374292",52,Fraud
1/17/2023 17:45,Bus ,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,Not Fraud
1/18/2023 22:20,Car,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",66,Not Fraud
1/19/2023 4:00,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",95,Not Fraud
1/20/2023 8:30,Truck,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",44,Not Fraud
1/21/2023 13:10,Van,B-102,Regular,Medium,140,100,"13.059816123454882, 77.77068662374292",78,Fraud
1/22/2023 16:45,Sedan,A-101,Express,Medium,160,60,"13.059816123454882, 77.77068662374292",61,Fraud
1/23/2023 22:25,SUV,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",85,Not Fraud
1/24/2023 2:55,Bus ,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",49,Fraud
1/25/2023 7:35,Car,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",74,Not Fraud
1/26/2023 12:10,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",69,Not Fraud
1/27/2023 15:45,Truck,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",92,Not Fraud
1/28/2023 21:25,Van,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",57,Fraud
1/29/2023 3:05,Sedan,A-101,Regular,Medium,160,60,"13.059816123454882, 77.77068662374292",83,Fraud
1/30/2023 7:35,SUV,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",68,Not Fraud
1/31/2023 11:10,Bus ,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,Not Fraud
2/1/2023 16:50,Car,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",46,Not Fraud
2/2/2023 21:25,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",81,Not Fraud
2/3/2023 3:05,Truck,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",60,Not Fraud
2/4/2023 8:40,Van,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",88,Not Fraud
2/5/2023 13:20,Sedan,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",53,Not Fraud
2/6/2023 18:55,SUV,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",77,Not Fraud
2/7/2023 23:30,Bus ,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",64,Not Fraud
2/8/2023 5:10,Car,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",91,Not Fraud
2/9/2023 9:40,Motorcycle,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",50,Not Fraud
2/10/2023 14:20,Truck,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",75,Not Fraud
2/11/2023 17:55,Van,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",59,Not Fraud
2/12/2023 23:35,Sedan,A-101,Regular,Medium,160,140,"13.059816123454882, 77.77068662374292",84,Fraud
2/13/2023 4:05,SUV,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",66,Fraud
